Reaper Map Alt,,MA alt,Reaper Map neu,,,MA,,,,Ziel,,,,,,TODO
Channel,Note,ID alt,Ch Name,Ch#,Note,Remote Type,Remote ID,Tested,Reset,Kategorie,Action,Action Detail,Reaper Label,Fixture #,Submodul,
8,70,,Globals,2,21,exec,2.170,,,Global,Color,Green-Soft,Color Flash Green Soft,,,
8,71,,Globals,2,22,exec,2.171,,,Global,Color,Cyan-Soft,Color Flash Cyan Soft,,,
8,72,,Globals,2,23,exec,2.172,,,Global,Color,Blue-Soft,Color Flash Blue Soft,,,
8,73,,Globals,2,24,exec,2.173,,,Global,Color,Purple,Color Flash Purple,,,
8,74,,Globals,2,25,exec,2.174,,,Global,Color,WW,Color Flash WW,,,
8,75,,Globals,2,26,exec,2.175,,,Global,Color,Orange,Color Flash Orange,,,
8,76,,Globals,2,27,exec,2.176,,,Global,Color,Yeen,Color Flash Yeen,,,
8,77,,Globals,2,28,exec,2.177,,,Global,Color,Green-cold,Color Flash Green cold,,,
8,78,,Globals,2,29,exec,2.178,,,Global,Color,Aqua,Color Flash Aqua,,,
8,79,,Globals,2,30,exec,2.179,,,Global,Color,Violet,Color Flash Violet,,,
8,80,,Globals,2,31,exec,2.180,,,Global,Color,Violet-Soft,Color Flash Violet Soft,,,
8,81,,Globals,2,32,exec,2.181,,,Global,Color,CW,Color Flash CW,,,
8,82,,Globals,2,33,exec,2.182,,,Global,Color,Orange-Red,Color Flash Orange-Red,,,
8,83,,Globals,2,34,exec,2.183,,,Global,Color,Yeen-Soft,Color Flash Yeen Soft,,,
8,84,,Globals,2,35,exec,2.184,,,Global,Color,Gold,Color Flash Gold,,,
8,85,,Globals,2,36,exec,2.185,,,Global,Color,Berry,Color Flash Berry,,,
8,50,-,Suns,3,1,OSC,-,,,Sunstrip,Brightness,,Suns 100% brightness,,,
8,51,-,Suns,3,1,OSC,-,,,Sunstrip,Brightness,,Suns 50% brightness,,,
8,52,-,Suns,3,1,OSC,-,,,Sunstrip,Brightness,,Suns 25% brightness,,,
8,53,-,Suns,3,1,OSC,-,,,Sunstrip,Brightness,,Suns 10% brightness,,,
,,,Suns,3,,osc,,,,,,,Fadein Speed,,,
,,,Suns,3,,osc,,,,,,,Fadeout Speed,,,
,,,Suns,3,,osc,,,,,,,Pixel fadein Speed,,,
,,,Suns,3,,osc,,,,,,,Pixel fadeout Speed,,,
,,,Suns,3,11,exec,3.101,,,,,,Blackout soft,,,
,,,Suns,3,12,exec,3.102,,,,,,Blackout hard,,,
,,,Suns,3,13,exec,3.103,,,,,,,,,
,,,Suns,3,14,exec,3.104,,,,,,,,,
,,,Suns,3,15,exec,3.105,,,,,,,,,
15,15,15.116,Suns,3,16,exec,3.106,,,Sunstrip,FadeIn,,FadeIn Sun1,1,1,Fade in / Fade Out getrnnt setzen via setting mit velocity?
15,16,15.117,Suns,3,17,exec,3.107,,,Sunstrip,FadeIn,,FadeIn Sun2,2,1,
15,17,15.118,Suns,3,18,exec,3.108,,,Sunstrip,FadeIn,,FadeIn Sun3,3,1,
15,18,15.119,Suns,3,19,exec,3.109,,,Sunstrip,FadeIn,,FadeIn Sun4,4,1,
15,75,15.176,Suns,3,20,exec,3.110,,,Sunstrip,Flash,,Flash Sun1,1,1,
15,76,15.177,Suns,3,21,exec,3.111,,,Sunstrip,Flash,,Flash Sun2,2,1,
15,77,15.178,Suns,3,22,exec,3.112,,,Sunstrip,Flash,,Flash Sun3,3,1,
15,78,15.179,Suns,3,23,exec,3.113,,,Sunstrip,Flash,,Flash Sun4,4,1,
15,0,15.101,Suns,3,24,exec,3.114,,,Sunstrip,FadeOut,,FadeOut Sun1,1,1,Fade in / Fade Out getrnnt setzen via setting mit velocity?
15,1,15.102,Suns,3,25,exec,3.115,,,Sunstrip,FadeOut,,FadeOut Sun2,2,1,
15,2,15.103,Suns,3,26,exec,3.116,,,Sunstrip,FadeOut,,FadeOut Sun3,3,1,
15,3,15.104,Suns,3,27,exec,3.117,,,Sunstrip,FadeOut,,FadeOut Sun4,4,1,
15,30,15.131,Suns,3,28,exec,-,,,Sunstrip,S12,,S12 Sun1,1,1,Die Strobe Implementierung ist nicht gut. Strobe Funktion der Geräte supporten.
15,45,15.146,Suns,3,28,exec,3.118,,,Sunstrip,S16,,S16 Sun1,1,1,Die Strobe Implementierung ist nicht gut. Strobe Funktion der Geräte supporten.
15,60,15.161,Suns,3,28,exec,-,,,Sunstrip,S24,,S24 Sun1,1,1,Die Strobe Implementierung ist nicht gut. Strobe Funktion der Geräte supporten.
15,31,15.132,Suns,3,29,exec,-,,,Sunstrip,S12,,S12 Sun2,2,1,
15,46,15.147,Suns,3,29,exec,3.119,,,Sunstrip,S16,,S16 Sun2,2,1,
15,61,15.162,Suns,3,29,exec,-,,,Sunstrip,S24,,S24 Sun2,2,1,
15,32,15.133,Suns,3,30,exec,-,,,Sunstrip,S12,,S12 Sun3,3,1,
15,47,15.148,Suns,3,30,exec,3.120,,,Sunstrip,S16,,S16 Sun3,3,1,
15,62,15.163,Suns,3,30,exec,-,,,Sunstrip,S24,,S24 Sun3,3,1,
15,33,15.134,Suns,3,31,exec,-,,,Sunstrip,S12,,S12 Sun4,4,1,
15,48,15.149,Suns,3,31,exec,3.121,,,Sunstrip,S16,,S16 Sun4,4,1,
15,63,15.164,Suns,3,31,exec,-,,,Sunstrip,S24,,S24 Sun4,4,1,
16,1,16.101,Suns,3,41,exec,3.131,,,Sunstrip,Flash,,Sunstrip1 1,1,1,
